date,year,month,day,day_of_year,station_id,station_name,basin,country,latitude,longitude,rainfall_mm,river_level_m,soil_moisture_percent,temperature_c,monsoon_season,flood_risk_score,flood_event_occurred,severity_level
2000-01-01,2000,1,1,1,STN-MEK-01,Vientiane Hydro Station,Mekong Basin,Laos,17.9757,102.6331,11.7,4.64,40.6,24.6,0,0.0773,0,Normal (Green)
2000-01-01,2000,1,1,1,STN-MEK-02,Phnom Penh Chroy Changvar,Mekong Basin,Cambodia,11.5564,104.9282,5.5,6.08,61.2,25.6,0,0.0898,0,Normal (Green)
2000-01-01,2000,1,1,1,STN-MEK-03,Chiang Saen Gauge,Mekong Basin,Thailand,20.2741,100.0886,10.5,4.12,40.4,23.2,0,0.0782,0,Normal (Green)
2000-01-01,2000,1,1,1,STN-CHP-01,Nakhon Sawan C.2 Station,Chao Phraya Basin,Thailand,15.7003,100.1245,6.3,4.62,33.9,23.4,0,0.0594,0,Normal (Green)
2000-01-01,2000,1,1,1,STN-CHP-02,Ayutthaya Bang Sai Post,Chao Phraya Basin,Thailand,14.195,100.514,5.9,3.55,44.0,21.1,0,0.0605,0,Normal (Green)
2000-01-01,2000,1,1,1,STN-GAN-01,Patna Ganga Station,Ganges-Brahmaputra,India,25.5941,85.1376,7.3,5.76,48.1,23.9,0,0.0708,0,Normal (Green)
2000-01-01,2000,1,1,1,STN-GAN-02,Dhaka Buriganga Gauge,Ganges-Brahmaputra,Bangladesh,23.8103,90.4125,8.4,5.44,53.2,25.3,0,0.0649,0,Normal (Green)
2000-01-01,2000,1,1,1,STN-YAN-01,Wuhan Yangtze Station,Yangtze River,China,30.5928,114.3055,9.7,9.91,46.6,21.9,0,0.0712,0,Normal (Green)
2000-01-01,2000,1,1,1,STN-YAN-02,Nanjing River Monitor,Yangtze River,China,32.0603,118.7969,10.1,7.56,35.0,25.1,0,0.0589,0,Normal (Green)
2000-01-01,2000,1,1,1,STN-IND-01,Sukkur Barrage,Indus River,Pakistan,27.7052,68.8574,4.8,4.18,35.5,23.9,0,0.0515,0,Normal (Green)
2000-01-01,2000,1,1,1,STN-IND-02,Khyber Upper Indus,Indus River,Pakistan,34.0151,71.5249,4.7,3.47,30.7,21.0,0,0.0461,0,Normal (Green)
2000-01-01,2000,1,1,1,STN-IRR-01,Mandalay Ayeyarwady,Irrawaddy Basin,Myanmar,21.9588,96.0891,11.5,5.06,50.7,21.3,0,0.075,0,Normal (Green)
2000-01-01,2000,1,1,1,STN-IRR-02,Yangon Delta Station,Irrawaddy Basin,Myanmar,16.8661,96.1951,16.4,4.2,63.0,25.5,0,0.0856,0,Normal (Green)
2000-01-01,2000,1,1,1,STN-RED-01,Hanoi Red River Post,Red River Basin,Vietnam,21.0285,105.8542,11.9,5.43,48.2,23.5,0,0.0662,0,Normal (Green)
2000-01-01,2000,1,1,1,STN-RED-02,Yen Bai Upper Red River,Red River Basin,Vietnam,21.705,104.875,11.8,5.33,54.5,23.3,0,0.0779,0,Normal (Green)
2000-01-08,2000,1,8,8,STN-MEK-01,Vientiane Hydro Station,Mekong Basin,Laos,17.9757,102.6331,10.0,4.44,47.0,25.6,0,0.0774,0,Normal (Green)
2000-01-08,2000,1,8,8,STN-MEK-02,Phnom Penh Chroy Changvar,Mekong Basin,Cambodia,11.5564,104.9282,11.0,6.1,61.8,25.0,0,0.0972,0,Normal (Green)
2000-01-08,2000,1,8,8,STN-MEK-03,Chiang Saen Gauge,Mekong Basin,Thailand,20.2741,100.0886,7.5,3.49,43.9,23.6,0,0.0657,0,Normal (Green)
2000-01-08,2000,1,8,8,STN-CHP-01,Nakhon Sawan C.2 Station,Chao Phraya Basin,Thailand,15.7003,100.1245,7.8,5.34,41.5,22.0,0,0.0769,0,Normal (Green)
2000-01-08,2000,1,8,8,STN-CHP-02,Ayutthaya Bang Sai Post,Chao Phraya Basin,Thailand,14.195,100.514,6.6,3.26,43.4,23.6,0,0.0563,0,Normal (Green)
2000-01-08,2000,1,8,8,STN-GAN-01,Patna Ganga Station,Ganges-Brahmaputra,India,25.5941,85.1376,27.7,7.45,52.6,24.5,0,0.1277,0,Normal (Green)
2000-01-08,2000,1,8,8,STN-GAN-02,Dhaka Buriganga Gauge,Ganges-Brahmaputra,Bangladesh,23.8103,90.4125,23.2,8.21,56.0,23.4,0,0.1222,0,Normal (Green)
2000-01-08,2000,1,8,8,STN-YAN-01,Wuhan Yangtze Station,Yangtze River,China,30.5928,114.3055,7.7,11.17,29.3,24.0,0,0.0648,0,Normal (Green)
2000-01-08,2000,1,8,8,STN-YAN-02,Nanjing River Monitor,Yangtze River,China,32.0603,118.7969,4.8,7.46,40.5,24.0,0,0.0578,0,Normal (Green)
